OBJECTID,BdType,BdVal,PctNum,BdName,DistrictFullName
1,P,0159,159,COPPER HILLS,Copper Hills Voting Precinct
2,P,0374,374,HILTON,Hilton Voting Precinct
3,P,0926,926,WOOD,Wood Voting Precinct
4,P,0244,244,DUSTY TRAIL,Dusty Trail Voting Precinct
5,P,0259,259,EMERALD,Emerald Voting Precinct
6,P,0136,136,CLEARVIEW,Clearview Voting Precinct
7,P,0789,789,STELLA,Stella Voting Precinct
8,P,0151,151,COMET,Comet Voting Precinct
9,P,0231,231,DOS RIOS,Dos Rios Voting Precinct
10,P,0931,931,YUCATAN,Yucatan Voting Precinct
11,P,0928,928,XAVIER,Xavier Voting Precinct
12,P,0657,657,PORTLAND,Portland Voting Precinct
13,P,0677,677,REDDEN,Redden Voting Precinct
14,P,0493,493,MARLETTE,Marlette Voting Precinct
15,P,0619,619,PARK MEADOWS,Park Meadows Voting Precinct
16,P,0651,651,POINSETTIA,Poinsettia Voting Precinct
17,P,0323,323,GOLDEN,Golden Voting Precinct
18,P,0531,531,MONTEBELLO,Montebello Voting Precinct
19,P,0064,64,BLACK GOLD,Black Gold Voting Precinct
20,P,0482,482,MAGIC STONE,Magic Stone Voting Precinct
21,P,0842,842,TORTILLA FLAT,Tortilla Flat Voting Precinct
22,P,0145,145,COLBY,Colby Voting Precinct
23,P,0223,223,DESOTO,Desoto Voting Precinct
24,P,0526,526,MOHAWK,Mohawk Voting Precinct
25,P,0637,637,PHELPS,Phelps Voting Precinct
26,P,0047,47,AZTEC SPRINGS,Aztec Springs Voting Precinct
27,P,0930,930,YOUNGTOWN,Youngtown Voting Precinct
28,P,0902,902,WESTWORLD,Westworld Voting Precinct
29,P,0881,881,WACKER PARK,Wacker Park Voting Precinct
30,P,0394,394,INDIAN SPRINGS,Indian Springs Voting Precinct
31,P,0836,836,TIGER MOUNTAIN,Tiger Mountain Voting Precinct
32,P,0385,385,HOPI,Hopi Voting Precinct
33,P,0686,686,RIATA,Riata Voting Precinct
34,P,0252,252,EDISON,Edison Voting Precinct
35,P,0127,127,CHOLLA,Cholla Voting Precinct
36,P,0583,583,OASIS,Oasis Voting Precinct
37,P,0089,89,CACTUS WREN,Cactus Wren Voting Precinct
38,P,0767,767,SOLCITO,Solcito Voting Precinct
39,P,0210,210,DESERT HARBOR,Desert Harbor Voting Precinct
40,P,0498,498,MAYBERRY,Mayberry Voting Precinct
41,P,0755,755,SIERRA PASS,Sierra Pass Voting Precinct
42,P,0753,753,SIERRA HILLS,Sierra Hills Voting Precinct
43,P,0546,546,NEELY,Neely Voting Precinct
44,P,0260,260,EMMETT,Emmett Voting Precinct
45,P,0794,794,SUMMERSIDE,Summerside Voting Precinct
46,P,0337,337,GREENWAY,Greenway Voting Precinct
47,P,0249,249,EASTRIDGE,Eastridge Voting Precinct
48,P,0922,922,WINDMILL,Windmill Voting Precinct
49,P,0011,11,ALAMO,Alamo Voting Precinct
50,P,0164,164,CORDONIZ,Cordoniz Voting Precinct
51,P,0509,509,MERCER,Mercer Voting Precinct
52,P,0027,27,APOLLO,Apollo Voting Precinct
53,P,0240,240,DUBLIN,Dublin Voting Precinct
54,P,0073,73,BONANZA,Bonanza Voting Precinct
55,P,0006,6,AGRITOPIA,Agritopia Voting Precinct
56,P,0914,914,WILDFLOWER,Wildflower Voting Precinct
57,P,0673,673,RANCHO MIRAGE,Rancho Mirage Voting Precinct
58,P,0378,378,HOLLIS,Hollis Voting Precinct
59,P,0054,54,BEARDSLEY,Beardsley Voting Precinct
60,P,0257,257,ELLSWORTH PARK,Ellsworth Park Voting Precinct
61,P,0890,890,WENDY,Wendy Voting Precinct
62,P,0487,487,MARBLE CREEK,Marble Creek Voting Precinct
63,P,0628,628,PECOS,Pecos Voting Precinct
64,P,0032,32,ARENA,Arena Voting Precinct
65,P,0348,348,HAPPY TRAILS,Happy Trails Voting Precinct
66,P,0667,667,QUAIL RUN,Quail Run Voting Precinct
67,P,0424,424,KOKOPELLI,Kokopelli Voting Precinct
68,P,0754,754,SIERRA MADRE,Sierra Madre Voting Precinct
69,P,0574,574,NVP 6,Nvp 6 Voting Precinct
70,P,0233,233,DOVE,Dove Voting Precinct
71,P,0034,34,ARROWHEAD RANCH,Arrowhead Ranch Voting Precinct
72,P,0456,456,LOBO,Lobo Voting Precinct
73,P,0555,555,NVP 1,Nvp 1 Voting Precinct
74,P,0411,411,JUNIPER,Juniper Voting Precinct
75,P,0280,280,FENIMORE,Fenimore Voting Precinct
76,P,0878,878,VISTA VERDE,Vista Verde Voting Precinct
77,P,0834,834,TIERRA MADRE,Tierra Madre Voting Precinct
78,P,0787,787,STARDUST,Stardust Voting Precinct
79,P,0056,56,BERYL,Beryl Voting Precinct
80,P,0172,172,COTTON LANE,Cotton Lane Voting Precinct
81,P,0808,808,SUNFLOWER,Sunflower Voting Precinct
82,P,0534,534,MOON VALLEY,Moon Valley Voting Precinct
83,P,0235,235,DOVER,Dover Voting Precinct
84,P,0647,647,PINTO,Pinto Voting Precinct
85,P,0168,168,CORRINE,Corrine Voting Precinct
86,P,0735,735,SARATOGA,Saratoga Voting Precinct
87,P,0372,372,HILLERY,Hillery Voting Precinct
88,P,0845,845,TRADITIONS,Traditions Voting Precinct
89,P,0927,927,WOODGLEN,Woodglen Voting Precinct
90,P,0434,434,LAREDO,Laredo Voting Precinct
91,P,0111,111,CARRIAGE LANE,Carriage Lane Voting Precinct
92,P,0038,38,ASPEN,Aspen Voting Precinct
93,P,0175,175,COUNTRY GABLES,Country Gables Voting Precinct
94,P,0624,624,PEACH TREE,Peach Tree Voting Precinct
95,P,0314,314,GILA BEND,Gila Bend Voting Precinct
96,P,0118,118,CENTENNIAL,Centennial Voting Precinct
97,P,0078,78,BRONCO,Bronco Voting Precinct
98,P,0925,925,WOLF RUN,Wolf Run Voting Precinct
99,P,0026,26,APACHE WELLS,Apache Wells Voting Precinct
100,P,0773,773,SOUTH MTN PARK EAST,South Mtn Park East Voting Precinct
101,P,0911,911,WIGWAM CREEK,Wigwam Creek Voting Precinct
102,P,0266,266,ESCALANTE,Escalante Voting Precinct
103,P,0165,165,CORDOVA,Cordova Voting Precinct
104,P,0017,17,ALTADENA,Altadena Voting Precinct
105,P,0439,439,LASSEN,Lassen Voting Precinct
106,P,0302,302,GARDNER,Gardner Voting Precinct
107,P,0752,752,SHEFFIELD,Sheffield Voting Precinct
108,P,0595,595,ORME,Orme Voting Precinct
109,P,0454,454,LISBON,Lisbon Voting Precinct
110,P,0155,155,CONCORD,Concord Voting Precinct
111,P,0293,293,FRANKLIN,Franklin Voting Precinct
